Method,Features,Accuracy,Precision,Recall,F1-Score
Baseline (Original TF-IDF),1000,0.6493506493506493,0.6450726147693034,0.6493506493506493,0.6467814960411802
PCA (50 components),50,0.6448010588137977,0.6406617750115333,0.6448010588137977,0.6423230957814354
LDA (2 components),2,0.6486061708991645,0.6442033812794856,0.6486061708991645,0.64601889101248
Chi-Square (k=500),500,0.6464554553726528,0.642552013837313,0.6464554553726528,0.6441320152879496
